date,time,station_name,num_bikes_available,num_docks_available,bikes_rented,bikes_returned
2024-10-03,00:25:17,E 43 St & Madison Ave,0,52,0,0
2024-10-03,00:25:17,Broadway & W 37 St,0,55,0,0
2024-10-03,00:25:17,W 48 St &  Rockefeller Plaza,0,54,1,0
2024-10-03,00:25:17,W 36 St & 7 Ave,1,32,0,0
2024-10-03,00:25:17,W 53 St & 10 Ave,24,0,0,1
2024-10-03,00:25:17,9 Ave & W 45 St,23,0,1,0
2024-10-03,00:30:18,E 35 St & Madison Ave,2,46,0,0
2024-10-03,00:30:18,W 47 St & 6 Ave,1,58,0,0
2024-10-03,00:30:18,Broadway & W 38 St,1,60,0,0
2024-10-03,00:30:18,W 52 St & 5 Ave,0,58,0,0
2024-10-03,00:30:18,Broadway & W 53 St,3,75,0,2
2024-10-03,00:30:18,E 48 St & 5 Ave,0,56,0,0
2024-10-03,00:30:18,W 35 St & 8 Ave,40,11,0,1
2024-10-03,00:30:18,W 54 St & 9 Ave,33,3,0,0
2024-10-03,00:30:18,Broadway & W 41 St,0,50,0,0
2024-10-03,00:30:18,E 40 St & Park Ave,1,121,0,1
2024-10-03,00:30:18,W 50 St & 9 Ave,11,10,1,0
2024-10-03,00:30:18,Broadway & W 48 St,2,95,0,0
2024-10-03,00:30:18,8 Ave & W 49 St,6,49,0,0
2024-10-03,00:30:18,8 Ave & W 52 St,5,24,1,0
2024-10-03,00:30:18,W 43 St & 10 Ave,110,0,0,0
2024-10-03,00:30:18,W 40 St & 7 Ave,2,36,0,1
2024-10-03,00:30:18,W 43 St & 6 Ave,0,61,0,0
2024-10-03,00:30:18,9 Ave & W 39 St,33,0,0,1
2024-10-03,00:30:18,8 Ave & W 31 St,32,57,0,0
2024-10-03,00:30:18,W 44 St & 5 Ave,0,68,0,0
2024-10-03,00:30:18,W 45 St & 8 Ave,24,37,0,0
2024-10-03,00:30:18,Central Park S & 6 Ave,0,68,0,0
2024-10-03,00:30:18,W 56 St & 8 Ave,13,27,0,0
2024-10-03,00:30:18,W 49 St & 8 Ave,27,39,0,0
2024-10-03,00:30:18,W 41 St & 8 Ave,76,20,0,0
2024-10-03,00:30:18,W 42 St & 8 Ave,34,3,0,0
2024-10-03,00:30:18,7 Ave & W 55 St,0,57,0,0
2024-10-03,00:30:18,W 50 St & 10 Ave,46,3,1,0
2024-10-03,00:30:18,E 41 St & Madison Ave (SE corner),1,89,0,0
2024-10-03,00:30:18,W 56 St & 6 Ave,0,51,0,0
2024-10-03,00:30:18,Broadway & W 36 St,7,67,1,0
2024-10-03,00:30:18,6 Ave & W 34 St,7,52,0,1
2024-10-03,00:30:18,8 Ave & W 38 St,29,33,0,0
2024-10-03,00:30:18,W 52 St & 6 Ave,0,53,0,0
2024-10-03,00:30:18,W 51 St & Rockefeller Plaza,0,49,0,0
